Index,Question,A,B,C,D,answer
54,He gained worldwide fame in 2008 for his music in the movie 'Slumdog Millionaire' and earned him Best Original Score and Best Original Song at the 81st Academy Awards.,A. R. Rahman ,Sonu Nigam,Javed Akhtar ,Armaan Malik ,1
55,This singer is widely regarded as one of the greatest singers in the history of Indian music. He was the brother of famous Bollywood actor Ashok Kumar.,Mohammad Rafi ,Udit Narayan ,Shaan,Kishore Kumar,4
56,"He was a famous Indian composer, singer and musician and popularly known as ""The Ghazal King"". ",Pankaj Udhas,Kishore Kumar,Jagjit Singh,R.D. Burman,3
57,"He is considered to be the most successful ghazal singer and composer of all time. He has made some very remarkable music contributions in films such as Prem Geet, Arth, and Saath Saath, and TV serials Mirza Ghalib and Kahkashan.",Pankaj Udhas,Jagjit Singh,Kishore Kumar,R.D. Burman,2
58,"He was given the title of ""Modern Rafi"" after his idol Mohammad Rafi.",Sonu Nigam,Shaan,Arijit Singh,Amaal Malik,1
59,He is Ustad Nusrat Fateh Ali Khan's nephew and Ustad Farrukh Fateh Ali Khan's son. ,Shabbir Khan,KK,Rahat Fateh Ali Khan,Fateh Ali Khan,4
60,"He has explored internationally, including United States in the year 1993 and world tour in the year 2006 with his show Kal Ki Yaadein as a mark of respect to his father, Mukesh.",Kumar Sanu,Adnan Sami,Nitin Mukesh,Tarsame Singh Saini,3
61,He is a playback singer from Nepal singing in commercial Nepalese and Bollywood Movies. He has shown his talent by singing in around 32 languages,Rahat Nusrat Fateh Ali Khan,Udit Narayan Jha,Anupam Amod,Kumar Sanu,2
62,He holds the record of winning five consecutive Filmfare Awards for Best Male Playback Singer. He gained popularity from the 1990 film Aashiqui.,Kumar Sanu,Sonu Nigam,Abhijeet Bhattacharya,Arijit Singh,1
63,How many books are there to learn the basic stages of learning music?,6,4,8,2,4
64,Hindustani classical music is broken into groups of notes. What would one of these groups of notes be called?,Taal,Note Group,Raaga,Taalam,3
65,What is the tune of the song called?,Rag,Ragan,Antara,Taal,2
66,Teen Tal is metered under how many beats,16,17,14,15,1
67,Movie music in India is made for the Indian movie industry. What is the Indian movie industry called?,Tollywood,Hollywood,Bollywood,None of these,3
68,What is the beat called?,Antara,Raag,Talam,Taal,3
69,How many MelaKartha Ragas are there?,66,72,52,42,2
70,It is said that Tabla was invented accidentally during a stage performance by an artist. Name the instrument from which Tabla was believed to be invented.,Mridangam,Bongo,Dholak,Guitar,1
71,Which is an Indian string instrument?,Piano,Violin,Guitar,Sitar,4
72,How many sounds does Tabla produce?,3,4,12,18,3
73,Ancient Tana with three swaras is called :,Archik,Samik,Ritwik,Gathik,2
74,A musical scale containing five notes is called :,Pentatonic Scale,Diatonic Scale,Harmonic Minor Scale,None of the above,1
75,An excessive fondness for music is called :,Megalomania,Hypomania,Graphomania,Melomania,4
76,What material is the Indian flute made of?,Steel,Plastic,Wood,Glass,3
77,"Which one of these Tabla players has received Padma Vibhushan, the second highest civilian award given by the government of India?",Ustad Abdul Latif,Zakir Hussain,Ustaad Allahrakha,Pt. Kishan Maharaj,2
78,"By popular belief, Tabla was invented in which province of India?",Punjab,Delhi,Maharashtra,Gujarat,1
79,With which song did Lata Mangeshkar do her first Hindi playback ?,Main Khili khili Phulvari,Janani Janam Bhoomi,Natai Chaitrachi Navalai,Pa Lagoon Kar Jori Re Shyam,4
80,Dr. A.P.J. Abdul Kalam used to play :,Sitar,Nadeswaram,Veena,Violin,3
81,The Violinist was equally popular in Hindustani and Karnatic style :,A. Narmada,Dr. N.S. Gopalakrishnan,N. Ramani,Lalgudi G. Jayraman,2
82,Who is the youngest Indian singer to win a Filmfare award ?,Ankit Tiwari,Nazia Hassan,Arijit Singh,Neeti Mohan,1
83,Which Indian actor makes a cameo appearance in the original music video of Adnan Sami?s ?Lift Karade? song?,Anil Kapoor,Amitabh Bachhan,Shakti kapoor,Govinda,4
84,"Lata Mangeshkar is considered as the doyenne of Hindi film music. But she has not sung a single song for one particular music director, do you know his name?",Khemchand Prakash,Jaidev,O P Nayyar,R D Burman,3
85,"One of the films that revolutionized Hindi film music was 'Teesri Manzil'. This film marked the first big hit of a great music director, can you name him?",S D Burman,R D Burman,Kalyanji-Anandji,Shankar-Jaikishan,2
86,The films of Raj Kapoor were known for their super hit songs. One of the classic Raj Kapoor films was 'Bobby'. Who was the music director of this film?,Laxmikant-Pyarelal,Ravindra Jain,Shankar-Jaikishan,Madan Mohan,1
87,One of the superstars of Bollywood was Rajesh Khanna. Who was the famous singer who was known as the voice of Rajesh Khanna?,Mohammed Rafi,Talat Mahmood,Mukesh,Kishore Kumar,4
88,"Duet songs are a popular feature in Hindi film music. One of the greatest duet songs, featuring Raj Kapoor and Nargis was 'Pyar Hua Ikrar Hua'. Who were the singers of this great song?",Asha Bhosle-Mukesh,Lata Mangeshkar-Mohammed Rafi,Lata Mangeshkar-Manna Dey,Lata Mangeshkar-Mukesh,3
89,"'Mughal-E-Azam' was one of the greatest films made in Bollywood, featuring many hit songs. Who was the music director of this film?",O P Nayyar,Naushad,S D Burman,Salil Chowdhury,2
90,Which of these music directors was NOT a singer?,Roshan,C Ramachandra,R D Burman,S D Burman,1
91,"The megastar of Bollywood, Amitabh Bachchan has also sung a number of hit songs. Which of these films featured a song sung by Bachchan?",Sholay,Don,Hum,Silsila,4
92,Many feel that the 1980's saw a gradual decline of melody in Hindi film music. During this time a Rajshree Productions film 'Maine Pyar Kiya' was a musical hit and saw the revival of melody in Hindi film music. Who was the music director of this film?,Anand Milind,Nadeem Shravan,Ram Laxman,Jatin Lalit,3
93,The superstar of the late 90's and 2000's was Shah Rukh Khan. 'Dilwale Dulhaniya Le Jayenge (DDLJ)' was a musical hit starring Shahrukh and Kajol. Which of these songs is from the film DDLJ?,Chak De India,Mehndi Laga Ke Rakhna,Yeh Kaali Kaali Ankhen,Dard E Disco,2
94,What is Kishore Kumar's real name?,Abhas Kumar Ganguly,Pradeep Ganguly,Kumar Shanu,Parthoprotim Ganguly,1
95,Which of the following music composers come from the Tripura Royal Family?,Bhupen Hazarika,Salil Chowdhury,Manna Dey,S.D Burman,4
96,Identify this singer who is also known as the founder of modern semi-classical and non-classical ghazal.,Rahat Nusrat Fateh Ali Khan,Mukesh,Talat Mahmood,Mohammed Rafi,3
97,Aditya Prateek Singh Sisodia is the real name of which Indian rapper?,Emiway,Badshah,Divine,Yo Yo Honey Singh,2
98,A. S. Dileep Kumar was the actual name of which Indian composer?,A.R Rahman,Naushad Ali,Salil Chowdhury,Ravi Shankar,1
99,Who was first Indian composer to get nominated for an Oscar?,A.R Rahman,S.D Burman,Ilaiyaraaja,Ravi Shankar,4
100,What is Gulzar's real name?,Sampooran Singh Karla,Mahadev Karla,Sahil Karla,Ramcharan,1
