Index,Question,A,B,C,D,answer
90,"The practice of collecting into a single database data relevant to a particular function, department, etc is known as?",Data Mining,Data Marting,Data Warehousing,Data Diddling,2
91,The rules of a language is known as ____,Code,Structure,Procedure,Syntax,4
92,Father of ?C? programming language?,Dennis Ritchie,Prof Jhon Kemeny,Thomas Kurtz,Bill Gates,1
93,SMPS stands for,Switched mode power supply,Start mode power supply,Store mode power supply,Single mode power supply,1
94,Symantec is the maker of which among the following popular antivirus software?,Norton,BitDefender,Avast,McAfee VirusScan,1
95,UNIVAC is,Universal Automatic Computer,Universal Array Computer,Unique Automatic Computer,Unvalued Automatic Computer,1
96,Information can be stored or retrieved from memory location through its,Value,Input,Variable declaration,Address,4
97,A compact disc (CD) is a data storage system of the type:,Optical,Magnetic,Electrical,Electromechanical,1
98,One nibble is equal to how many bits?,4 bits,8 bits,12 bits,16 bits,1
99,NOS stands for ______,Node operating system,Non-open software,Network Operating system,Non-operating software,3
100,A program that performs a useful task while simultaneously allowing destructive acts is a _____,Worm,Trojan horse,Virus,Macro virus,2
