Index,Question,A,B,C,D,answer
64,Which of these was considered as the ?food of gods? in ancient India?,Honey,Milk,Ghee,Dahi,4
65,"A dough ball made of whole wheat flour and stuffed with gram flour, pulses mixed with herbs and spices, roasted and tossed with much ghee ? Litti Chokha is a famous dish of which state?",Rajasthan,Bihar,Madhya Pradesh,Haryana,2
66,Which is the national vegetable of India?,Pumpkin,Lady's Finger,Brinjal,Fenugreek,1
67,Lectin protein is found in __________.,Egg whites,Milk,Wheat,Pulses,3
68,How many kernels will you find on an average ear of corn?,1000,400,600,800,4
69,How many drinks combinations are there at Starbucks? ,"86,000","87,000","80,000","83,000",2
70,"Found in the USA, firm browned crust and a soft, crumbly interior made with baking powder or soda rather than yeast. Who am I?",Biscuit,Bread,Cake,Muffin,1
71,South American raw fish marinated in citrus juice. Who am I?,Chilean Sea Bass,Parihuela,ceviche,Ensalada Rusa,3
72,American Graham crackers with chocolate and marshmallow. Who am I?,Saltines,Ritz crackers,Krispie treats,S'mores,4
73,What does IPA stand for?,Intensely potent ale,India pale ale,India premium ale,International porter association,2
74,"If in a Japanese restaurant, what dish would be a type of sushi featuring rice, topped with fish or seafood?",Nigiri,Omurice,Okawa,Mochi,1
75,Which of these cocktails does NOT typically include gin?,Gimlet,Collins,Cosmopolitan,Bramble,3
76,Which of these chocolate bars does not contain nuts in its ingredient list?,Snikers,Toblerone,Picnic,Double Decker,4
77,A Whitby Bun is flavoured with what?,Raspberry,Lemon,Coffee,Cinnamon,2
78,What are the two main ingredients in the dish Cullen Skink?,Smoked haddock and potatoes,Smoked haddock and parsnips,Cabbage and potatoes,Smoked salmon and potatoes,1
79,Which of these is NOT a type of mushroom?,King oyster,Chicken of the woods,Tiger?s tail,Lion?s mane,3
80,Which French city is known for the fish stew Bouillabaisse?,Paris,Bordeaux,Nice,Marseille,4
81,What is a spoot?,A type of potato,A type of clam,A type of root vegetable,A type of kitchen implement,2
82,A Magnum holds _____ standard bottles of champagne.,2,12,8,6,1
83,A R hoboam holds ______ standard bottles of champagne.,2,12,6,20,3
84,A Nebuchadnezzar holds ______ standard bottles of champagne.,6,2,16,20,4
85,"A type of biscuit originating in Lancashire, spiced with caraway seeds",opt1,Goosnargh cake,opt3,opt4,2
86,What is the tang on a knife?,The part of the knife blade that extends down into the handle,The length of the sharp edge,The tip of the blade,The leather case to secure the knife,1
87,In Indonesian and Malay cuisine what does the word ?nasi? refer to?,Egg,The bowl or dish the food is served in,Rice,Curry,3
88,Which of the following does not feature on the ingredients list of Worcestershire Sauce?,Tamarind,Anchovies,Molasses,Tomatoes,4
89,Roughly how much does a medium egg (still in its shell) weigh in the UK?,23-33g,53-63g,33-43g,63-73g,2
90,Which of these best describes the Austrian dish Kaiserschmarrn?,"Fluffy, raisin pancakes that are chopped or broken into small chunks and dusted with icing sugar","Thin cr pes that are rolled, filled with jam and dusted with icing sugar","Layers of cr pes and cream, stacked to form a pancake cake","A stock, served with thin strips of leftover pancakes",1
91,What is a hop?,"A climbing plant, the roots of which are used in beer","A climbing plant, the leaves of which are used in beer","A climbing plant, the flowers of which are used in beer",A grain crop used in beer,3
92,In what country would you find shish kebab as an everyday food?,Chile,Palau,China,Turkey,4
93,Which Polynesian food is prepared from the taro root?,Otai,Poi,Sambal,Koele Palau,2
94,The authentic Italian version of mozzarella is prepared from the milk of which animal?,Water buffalo,Goat,Cow,Sheep,1
95,What is the traditional Guatemalan feast on All Saints? Day?,Tapado,Revolcado,Fiambre,Hilachas,3
96,Antipasto is typically served as which course in Italian cuisine?,Contorno,Dessert,Main course,Appetizer,4
97,"Which famous Middle Eastern dish contains fried, spiced ground chickpeas and/or fava beans in a pita or laffa bread?",Hummus,Falafel,Kibbeh,Shawarma,2
98,What bread is eaten by Jews during Passover?,Matzo,Challah,Bagel,Babka,1
99,Which of the following types of nut is used in marzipan?,Cashewnut,Hazelnut,Almond,Walnut,3
100,"Kimchi, commonly used in Korean meals, is a type of what?",Candy,Rice,Legume,Pickle,4
